station,latitude,longitude,free_bikes,empty_slots,total_bike_cap,distanceyelp,poiname,location.address,ratingyelp,distancefoursq,namefoursq,location.addressfoursq,ratingfoursq,popularityyelp,categories
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,517.2642709146129,The Village Cafe,1001 W Grace St,3.8,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,518.6840552079454,Ipanema Café,917 W Grace St,4.1,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,986.3688405834528,The Sidewalk Café,2101 W Main St,4.1,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,481.4233160235795,Home Team Grill,1630 W Main St,3.4,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,481.4233160235795,Home Team Grill,1630 W Main St,3.4,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,481.4233160235795,Home Team Grill,1630 W Main St,3.4,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,481.4233160235795,Home Team Grill,1630 W Main St,3.4,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,481.4233160235795,Home Team Grill,1630 W Main St,3.4,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,481.4233160235795,Home Team Grill,1630 W Main St,3.4,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,481.4233160235795,Home Team Grill,1630 W Main St,3.4,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
